seriesKey,seriesName,xAxis,yLeft_1,yLeft_2,yRight_1,yRight_2,yRight_3
30148,Covington UCC,40742023,9,11,2,2,1
30148,Covington UCC,40742024,8,10,1,1,1
30148,Covington UCC,40742025,11,14,1,1,0
30148,Covington UCC,40742026,10,16,3,3,0
30148,Covington UCC,40742027,10,16,3,3,2
30148,Covington UCC,40742028,13,20,2,2,1
30148,Covington UCC,40742029,14,23,1,1,1
30148,Covington UCC,40742030,11,13,2,2,0
30148,Covington UCC,40742031,11,13,2,2,1
30148,Covington UCC,40742032,11,15,2,2,1
30148,Covington UCC,40742033,8,14,1,1,1
30148,Covington UCC,40742034,17,19,2,2,1
30148,Covington UCC,40742035,22,25,3,3,1
30148,Covington UCC,40742036,31,33,2,2,0
30148,Covington UCC,40742037,31,33,2,2,1
30148,Covington UCC,40742038,22,24,2,2,0
30148,Covington UCC,40742039,15,20,3,3,3
30148,Covington UCC,40742040,11,15,2,2,1
30148,Covington UCC,40742041,14,17,2,2,1
30148,Covington UCC,40742042,13,14,1,1,0
30148,Covington UCC,40742043,18,54,3,3,2
30148,Covington UCC,40742044,33,139,1,1,0
30148,Covington UCC,40742045,20,77,2,2,0
30148,Covington UCC,40742046,11,43,4,4,4
30148,Covington UCC,40742047,4,10,1,1,1
30148,Covington UCC,40742048,6,12,2,2,0
30148,Covington UCC,40742049,9,28,5,5,3
30148,Covington UCC,40742050,25,46,4,4,1
30148,Covington UCC,40742051,30,34,3,3,1
30148,Covington UCC,40742052,36,39,2,2,0
30148,Covington UCC,40742053,36,39,2,2,0
30148,Covington UCC,40742054,29,34,3,3,2
30148,Covington UCC,40742055,16,25,1,1,1
30148,Covington UCC,40742056,8,10,1,1,0
30148,Covington UCC,40742057,13,15,3,3,1
30148,Covington UCC,40742058,13,15,3,3,1
30148,Covington UCC,40742059,17,18,3,3,1
30148,Covington UCC,40742060,18,22,3,3,1
30148,Covington UCC,40742061,14,18,2,2,2
30148,Covington UCC,40742062,9,10,1,1,0
30148,Covington UCC,40742063,9,10,1,1,1
30148,Covington UCC,40742064,19,21,1,1,0
30148,Covington UCC,40742065,11,14,3,3,1
30148,Covington UCC,40742066,12,15,4,4,1
30148,Covington UCC,40742067,12,16,4,4,3
30148,Covington UCC,40742068,15,19,4,4,1
30148,Covington UCC,40742069,18,24,3,3,2
30148,Covington UCC,40742070,17,21,2,2,0
30148,Covington UCC,40742071,17,21,2,2,2
30148,Covington UCC,40742072,19,26,1,1,0
30148,Covington UCC,40742073,17,27,3,3,0
30148,Covington UCC,40742074,17,27,3,3,2
30148,Covington UCC,40742075,21,31,1,1,0
30148,Covington UCC,40742076,17,24,2,2,1
30148,Covington UCC,40742077,10,16,2,2,1
30148,Covington UCC,40742078,5,10,2,2,2
30148,Covington UCC,40742079,8,9,1,1,0
30148,Covington UCC,40742080,10,13,2,2,1
30148,Covington UCC,40742081,12,18,1,1,1
30148,Covington UCC,40742082,12,13,2,2,0
30148,Covington UCC,40742083,12,16,3,3,1
30148,Covington UCC,40742084,12,17,2,2,2
30148,Covington UCC,40742085,14,15,1,1,0
30148,Covington UCC,40742086,14,15,1,1,0
30148,Covington UCC,40742087,13,14,2,2,1
30148,Covington UCC,40742088,12,13,1,1,1
30148,Covington UCC,40742089,6,9,2,2,1
30148,Covington UCC,40742090,10,11,1,1,1
30148,Covington UCC,40742091,6,7,1,1,1
30148,Covington UCC,40743002,5,9,1,1,1
30148,Covington UCC,40743003,9,11,2,2,1
30148,Covington UCC,40743004,9,12,2,2,0
30148,Covington UCC,40743005,9,12,2,2,2
30148,Covington UCC,40743007,13,14,1,1,0
30148,Covington UCC,40743008,12,14,2,2,1
30148,Covington UCC,40743009,11,15,1,1,1
30148,Covington UCC,40743013,13,17,2,2,0
30148,Covington UCC,40743014,13,17,2,2,1
30148,Covington UCC,40743015,21,23,1,1,1
30148,Covington UCC,40743019,7,23,2,2,1
30148,Covington UCC,40743020,4,16,3,3,2
30148,Covington UCC,40743021,2,9,1,1,1
30148,Covington UCC,40743023,1,13,1,1,1
30148,Covington UCC,40743024,10,13,2,2,1
30148,Covington UCC,40743025,18,19,1,1,0
30148,Covington UCC,40743026,12,15,2,2,1
30148,Covington UCC,40743027,5,11,3,3,2
30148,Covington UCC,40743028,7,11,2,2,1
30148,Covington UCC,40743029,6,10,2,2,2
30148,Covington UCC,40743035,5,80,2,2,0
30148,Covington UCC,40743036,9,49,4,4,2
30148,Covington UCC,40743037,14,17,2,2,2
30148,Covington UCC,40743038,13,13,1,1,0
30148,Covington UCC,40743039,13,13,1,1,1
30148,Covington UCC,40743041,5,6,1,1,1
30148,Covington UCC,40743045,13,14,2,2,0
30148,Covington UCC,40743046,13,14,2,2,2
30148,Covington UCC,40743047,6,11,1,1,0
30148,Covington UCC,40743048,5,8,2,2,2
30148,Covington UCC,40743050,10,14,2,2,0
30148,Covington UCC,40743051,10,14,2,2,1
30148,Covington UCC,40743052,11,13,1,1,1
30148,Covington UCC,40743053,7,13,2,2,1
30148,Covington UCC,40743054,9,10,1,1,1
30148,Covington UCC,40743056,2,7,1,1,1
30148,Covington UCC,40743059,8,10,1,1,0
30148,Covington UCC,40743060,5,63,2,2,2
30148,Covington UCC,40743061,6,149,1,1,0
30148,Covington UCC,40743062,6,149,1,1,1
30148,Covington UCC,40743063,11,18,2,2,0
30148,Covington UCC,40743064,9,16,3,3,1
30148,Covington UCC,40743065,6,34,4,4,2
30148,Covington UCC,40743066,4,56,2,2,2
30148,Covington UCC,40743067,62,64,1,1,0
30148,Covington UCC,40743068,34,37,2,2,0
30148,Covington UCC,40743069,34,37,2,2,1
30148,Covington UCC,40743070,62,64,1,1,0
30148,Covington UCC,40743071,46,49,2,2,0
30148,Covington UCC,40743072,46,49,2,2,0
30148,Covington UCC,40743073,46,49,2,2,1
30148,Covington UCC,40743074,30,35,1,1,1
30148,Covington UCC,40743075,12,24,1,1,0
30148,Covington UCC,40743076,12,24,1,1,1
30148,Covington UCC,40743079,14,15,2,2,0
30148,Covington UCC,40743080,14,15,2,2,1
30148,Covington UCC,40743081,11,14,2,2,1
30148,Covington UCC,40743082,4,7,2,2,2
30148,Covington UCC,40743086,6,6,1,1,1
30148,Covington UCC,40743087,6,11,3,3,2
30148,Covington UCC,40743088,9,17,1,1,1
30148,Covington UCC,40743089,1,7,1,1,1
30148,Covington UCC,40744002,4,7,1,1,0
30148,Covington UCC,40744003,4,7,2,2,2
30148,Covington UCC,40744004,3,8,1,1,1
30148,Covington UCC,40744007,4,6,1,1,1
30148,Covington UCC,40744009,4,6,1,1,0
30148,Covington UCC,40744010,4,6,1,1,1
30148,Covington UCC,40744011,1,10,1,1,1
30148,Covington UCC,40744012,8,10,1,1,0
30148,Covington UCC,40744013,8,10,1,1,1
30148,Covington UCC,40744015,7,9,1,1,0
30148,Covington UCC,40744016,7,9,1,1,1
30148,Covington UCC,40744019,4,8,1,1,1
30148,Covington UCC,40744022,5,14,2,2,0
30148,Covington UCC,40744023,5,14,2,2,2
30148,Covington UCC,40744028,5,6,2,2,1
30148,Covington UCC,40744029,5,8,1,1,1
30148,Covington UCC,40744030,6,7,1,1,1
30148,Covington UCC,40744032,5,8,2,2,1
30148,Covington UCC,40744033,5,11,3,3,2
30148,Covington UCC,40744034,6,17,1,1,1
30148,Covington UCC,40744037,2,9,1,1,1
30148,Covington UCC,40744039,4,10,1,1,0
30148,Covington UCC,40744040,2,7,3,3,3
30148,Covington UCC,40744041,7,12,2,2,0
30148,Covington UCC,40744042,7,12,2,2,2
30148,Covington UCC,40744044,6,10,1,1,0
30148,Covington UCC,40744045,7,13,3,3,1
30148,Covington UCC,40744046,10,15,4,4,2
30148,Covington UCC,40744047,13,16,3,3,1
30148,Covington UCC,40744048,15,17,2,2,1
30148,Covington UCC,40744049,10,11,2,2,2
30148,Covington UCC,40744050,5,8,1,1,0
30148,Covington UCC,40744051,5,8,1,1,1
30148,Covington UCC,40744052,7,10,1,1,0
30148,Covington UCC,40744053,7,10,1,1,1
30148,Covington UCC,40744054,4,10,1,1,1
30148,Covington UCC,40744056,4,4,1,1,0
30148,Covington UCC,40744057,4,4,1,1,1
30148,Covington UCC,40744058,8,9,1,1,0
30148,Covington UCC,40744059,7,9,2,2,1
30148,Covington UCC,40744060,7,9,1,1,1
30148,Covington UCC,40744061,6,8,1,1,1
30148,Covington UCC,40744063,5,6,2,2,1
30148,Covington UCC,40744064,6,7,2,2,2
30148,Covington UCC,40744065,6,8,1,1,0
30148,Covington UCC,40744066,6,8,1,1,1
30148,Covington UCC,40744068,3,8,1,1,0
30148,Covington UCC,40744069,9,12,2,2,1
30148,Covington UCC,40744070,14,17,3,3,1
30148,Covington UCC,40744071,14,18,2,2,1
30148,Covington UCC,40744072,13,15,4,4,1
30148,Covington UCC,40744073,10,13,4,4,3
30148,Covington UCC,40744074,7,13,2,2,1
30148,Covington UCC,40744075,6,14,1,1,1
30148,Covington UCC,40744076,4,11,1,1,1
30148,Covington UCC,40744077,3,6,1,1,1
30148,Covington UCC,40744078,7,10,2,2,0
30148,Covington UCC,40744079,7,10,2,2,2
30148,Covington UCC,40744080,9,15,2,2,1
30148,Covington UCC,40744081,10,31,2,2,0
30148,Covington UCC,40744082,10,31,2,2,2
30148,Covington UCC,40744083,6,7,1,1,0
30148,Covington UCC,40744084,6,8,2,2,1
30148,Covington UCC,40744085,6,9,1,1,1
30148,Covington UCC,40744086,9,10,1,1,0
30148,Covington UCC,40744087,7,10,2,2,1
30148,Covington UCC,40744088,5,10,1,1,1
